0;1;2;3
Wstaw: à, en, au, aux przed nazwami miejsc;Uzupełnij przyimek w każdym zdaniu;Przyimki;
J'habite ;Paris.;à;Mieszkam w Paryżu.
Marie est née ;France.;en;Maria urodziła się we Francji.
Il habite ;Portugal.;au;On mieszka w Portugalii.
Nous habitons ;États-Unis.;aux;Mieszkamy w Stanach Zjednoczonych.
Elle est née ;Rome.;à;Ona urodziła się w Rzymie.
Pierre habite ;Espagne.;en;Pierre mieszka w Hiszpanii.
Mes parents sont nés ;Japon.;au;Moi rodzice urodzili się w Japonii.
Tu habites ;Londres.;à;Mieszkasz w Londynie.
Sophie est née ;Italie.;en;Sophie urodziła się we Włoszech.
Ils habitent ;Canada.;au;Oni mieszkają w Kanadzie.
Vous êtes nés ;Pays-Bas.;aux;Urodziliście się w Holandii.
Mon frère habite ;Berlin.;à;Mój brat mieszka w Berlinie.
Anna est née ;Pologne.;en;Anna urodziła się w Polsce.
Le professeur habite ;Brésil.;au;Nauczyciel mieszka w Brazylii.
